dye batch 11_15_A,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,MOAT,Jar,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
1,13,C7,,22-Nov-16,25,28.27,0.00095,7.215123387,7.229177146,-0.095,0,0.008,0.481,0.184,0.012,0.314685315,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.305059795,-0.004
3,12,C7,,22-Nov-16,25,28.27,0.00095,7.737212402,7.740139253,-0.046,-0.061,0.026,0.508,0.474,0.03,0.965454545,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.959383467,-0.004
4,1,C7,,22-Nov-16,25,28.27,0.00095,7.451199355,7.458641343,-0.092,-0.104,-0.015,0.493,0.203,-0.012,0.52233677,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.513845423,-0.003
5,12,A7,,22-Nov-16,25,28.27,0.00095,7.73326661,7.736238438,-0.056,-0.083,-0.002,0.508,0.457,-0.001,0.957371226,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.951255996,-0.001
6,11,C7,,22-Nov-16,25,28.27,0.00095,7.396239188,7.404926535,-0.056,-0.069,0.021,0.6,0.237,0.024,0.464012251,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.455202341,-0.003
7,2,A7,,22-Nov-16,25,28.27,0.00095,7.747114192,7.749929848,-0.085,-0.089,0.007,0.418,0.407,0.009,0.986027944,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.980069235,-0.002
8,11,A7,,22-Nov-16,25,28.27,0.00095,7.420935953,7.429044835,-0.079,-0.082,0.016,0.529,0.214,0.013,0.489361702,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.480690248,0.003
9,10,C7,,22-Nov-16,25,28.27,0.00095,7.41806849,7.426242919,-0.069,-0.076,0.016,0.516,0.208,0.015,0.486348123,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.477660209,0.001
10,2,C7,,22-Nov-16,25,28.27,0.00095,7.717869346,7.721020405,-0.076,-0.082,0.012,0.496,0.448,0.013,0.926444834,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.920160687,-0.001
11,10,A7,,22-Nov-16,25,28.27,0.00095,7.433065025,7.440901229,-0.064,-0.067,0.027,0.577,0.252,0.021,0.502318393,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.493717707,0.006
12,3,A7,,22-Nov-16,25,28.27,0.00095,7.751989043,7.754750821,-0.073,-0.092,-0.007,0.47,0.449,-0.006,0.996309963,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.990407414,-0.001
13,3,C7,,22-Nov-16,25,28.27,0.00095,7.747717931,7.750526883,-0.067,-0.069,0.028,0.478,0.469,0.022,0.987295826,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.981344042,0.006
14,9,C7,,22-Nov-16,25,28.27,0.00095,7.724852818,7.727921845,-0.079,-0.086,0.008,0.487,0.446,0.004,0.940350877,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.934142684,0.004
15,4,A7,,22-Nov-16,25,28.27,0.00095,7.380379103,7.389455035,-0.075,-0.088,0.002,0.57,0.204,0.007,0.4484375,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.439542522,-0.005
16,9,A7,,22-Nov-16,25,28.27,0.00095,7.725430151,7.728492451,-0.084,-0.089,0.006,0.447,0.411,0.007,0.941509434,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.935307569,-0.001
17,4,C7,,22-Nov-16,25,28.27,0.00095,7.326452774,7.336957232,-0.058,-0.064,0.025,0.551,0.178,0.023,0.399345336,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.390182221,0.002
18,5,A7,,22-Nov-16,25,28.27,0.00095,7.355848401,7.365552986,-0.083,-0.078,0.018,0.496,0.166,0.014,0.425385935,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.416365051,0.004
19,8,C7,,22-Nov-16,25,28.27,0.00095,7.389442038,7.398294245,-0.07,-0.084,0.003,0.595,0.219,0.001,0.457271364,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.448424636,0.002
20,5,C7,,22-Nov-16,25,28.27,0.00095,7.368795662,7.378164177,-0.06,-0.065,0.027,0.555,0.204,0.027,0.437398374,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.428443101,0
21,8,A7,,22-Nov-16,25,28.27,0.00095,7.405653683,7.414116765,-0.074,-0.082,0.008,0.553,0.217,0.012,0.473515249,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.464757243,-0.004
22,6,A7,,22-Nov-16,25,28.27,0.00095,7.726631804,7.729680132,-0.06,-0.064,0.03,0.482,0.448,0.037,0.943925234,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.937736564,-0.007
23,6,C7,,22-Nov-16,25,28.27,0.00095,7.729911711,7.732922084,-0.075,-0.075,0.019,0.469,0.442,0.017,0.950549451,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.944396961,0.002
24,7,C7,,22-Nov-16,25,28.27,0.00095,7.681488241,7.685087386,-0.072,-0.086,0.003,0.45,0.361,0,0.857142857,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.85048019,0.003
25,7,A7,,22-Nov-16,25,28.27,0.00095,7.683139547,7.686717574,-0.074,-0.075,0.02,0.496,0.416,0.025,0.860176991,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.853530896,-0.005
