"","ObservationMonth","treatment","sensortype","sd","mean","n","se","ci"
"1","2018-08-August","ambient","OceanOptics1.6.7",0.0398710440061721,7.68251991133333,3,0.0230195579898349,0.0451183336600764
"2","2018-08-August","ambient","UDA2182durfet",0.170246669780729,7.64875,8,0.0601912873381901,0.117974923182853
"3","2018-08-August","highCO2","OceanOptics1.6.7",0.0356606311230915,7.23263379133333,3,0.0205886749783888,0.0403538029576421
"4","2018-08-August","highCO2","UDA2182durfet",0.0107308673997732,7.20666666666667,12,0.00309773459094861,0.00607155979825927
"5","2018-09-September","ambient","OceanOptics1.6.7",0.0816061390723516,7.65323527533333,9,0.0272020463574505,0.0533160108606031
"6","2018-09-September","ambient","UDA2182durfet",0.0468108083469392,7.72078947368421,38,0.00759371585432024,0.0148836830744677
"7","2018-09-September","highCO2","OceanOptics1.6.7",0.0914257067534733,7.14414359244444,9,0.0304752355844911,0.0597314617456026
"8","2018-09-September","highCO2","UDA2182durfet",0.0288560384089581,7.21186440677966,59,0.00375673621568308,0.00736320298273884
"9","2018-10-October","ambient","OceanOptics1.6.7",0.020964284226759,7.69831666844444,18,0.00494132917982116,0.00968500519244948
"10","2018-10-October","ambient","UDA2182durfet",0.0823527339504624,7.73816326530612,49,0.0117646762786375,0.0230587655061295
"11","2018-10-October","highCO2","OceanOptics1.6.7",0.0635304211083424,7.16394859138889,18,0.0149742638591153,0.029349557163866
"12","2018-10-October","highCO2","UDA2182durfet",0.0483144918575864,7.2079012345679,81,0.00536827687306516,0.0105218226712077
"13","2018-11-November","ambient","OceanOptics1.6.7",0.350275772621632,7.525731536625,24,0.0714997426818451,0.140139495656416
"14","2018-11-November","ambient","UDA2182durfet",0.138179040716917,7.8062962962963,27,0.0265925687847587,0.0521214348181271
"15","2018-11-November","highCO2","OceanOptics1.6.7",0.0931869266832742,7.1703208745,24,0.019021701756014,0.0372825354417875
"16","2018-11-November","highCO2","UDA2182durfet",0.0699756153712617,7.2175641025641,78,0.00792317822350151,0.015529429318063
"17","2018-12-December","ambient","OceanOptics1.6.7",0.196131252906792,7.66196587177778,18,0.0462285796443354,0.0906080161028975
"18","2018-12-December","ambient","UDA2182durfet",0.101992465673633,7.79103448275862,29,0.0189395254047766,0.0371214697933622
"19","2018-12-December","highCO2","OceanOptics1.6.7",0.154384247641665,7.22431934316667,18,0.0363887161386015,0.071321883631659
"20","2018-12-December","highCO2","UDA2182durfet",0.0385960961048932,7.20083333333333,84,0.0042111793316777,0.00825391149008829
"21","2019-01-January","ambient","UDA2182durfet",0.012954385047312,7.80333333333333,30,0.00236513630300681,0.00463566715389335
"22","2019-01-January","highCO2","UDA2182durfet",0.0325679928350424,7.19333333333333,90,0.00343296787262594,0.00672861703034685
"23","2019-02-February","ambient","OceanOptics1.6.7",0.0184376390184794,7.75430338404167,24,0.00376356730474201,0.00737659191729434
"24","2019-02-February","ambient","UDA2182durfet",0.0118871505343412,7.8225,24,0.00242645444206569,0.00475585070644875
"25","2019-02-February","highCO2","OceanOptics1.6.7",0.077732268000107,7.18347326720833,24,0.0158670327624613,0.0310993842144241
"26","2019-02-February","highCO2","UDA2182durfet",0.118653685922935,7.22541666666667,72,0.0139834709881477,0.0274076031367695
"27","2019-03-March","ambient","OceanOptics1.6.7",0.0387665949015743,7.78264051438889,18,0.00913737404613834,0.0179092531304312
"28","2019-03-March","ambient","UDA2182durfet",0.0678977063100625,7.86379310344828,29,0.0126082875346932,0.0247122435679987
"29","2019-03-March","highCO2","OceanOptics1.6.7",0.112274772439684,7.12637028011111,18,0.0264634176494257,0.0518682985928743
"30","2019-03-March","highCO2","UDA2182durfet",0.0603484934159767,7.17896551724138,87,0.00647003762498448,0.0126812737449696
"31","2019-04-April","ambient","OceanOptics1.6.7",0.0530375960419023,7.79019127195652,23,0.0110591032616731,0.0216758423928793
"32","2019-04-April","ambient","UDA2182durfet",0.173668118503701,7.98615384615385,26,0.0340591201976659,0.0667558755874252
"33","2019-04-April","highCO2","OceanOptics1.6.7",0.0720612127865028,7.14482452341667,24,0.0147094334644212,0.0288304895902656
"34","2019-04-April","highCO2","UDA2182durfet",0.0694831305275276,7.1948717948718,78,0.00786741529567908,0.015420133979531
"35","2019-05-May","ambient","OceanOptics1.6.7",0.054966594084904,7.81207466740741,27,0.0105783259637854,0.0207335188890194
"36","2019-05-May","ambient","UDA2182durfet",0.151049965091102,8.02666666666667,30,0.0275778243969214,0.054052535817966
"37","2019-05-May","highCO2","OceanOptics1.6.7",0.104360739634214,7.153724822,26,0.0204668249172244,0.0401149768377598
"38","2019-05-May","highCO2","UDA2182durfet",0.0900673211940167,7.18588888888889,90,0.00949392925743496,0.0186081013445725
"39","2019-06-June","ambient","OceanOptics1.6.7",0.0183873909975189,7.84742646164706,17,0.00445959736837069,0.00874081084200655
"40","2019-06-June","ambient","UDA2182durfet",0.172269064067762,8.00375,24,0.0351642754527367,0.0689219798873639
"41","2019-06-June","highCO2","OceanOptics1.6.7",0.169074080460004,7.23000877389474,19,0.0387882542472222,0.0760249783245556
"42","2019-06-June","highCO2","UDA2182durfet",0.0649363176667162,7.20208333333333,72,0.00765281842790314,0.0149995241186902
"43","2019-07-July","ambient","OceanOptics1.6.7",0.0112875155795718,7.8063273665,6,0.0046081089389444,0.00903189352033102
"44","2019-07-July","ambient","UDA2182durfet",0.205561078861873,7.91625,8,0.0726768164056265,0.142446560155028
"45","2019-07-July","highCO2","OceanOptics1.6.7",0.15938720241693,7.2036123392,5,0.0712801238695548,0.139709042784327
"46","2019-07-July","highCO2","UDA2182durfet",0.178445379943523,7.22083333333333,24,0.036425010651559,0.0713930208770555
