,ObservationMonth,sensortype,sd,mean,median,IQR,n,se,ci
1,2018-01-January,OrionStarA112,0,28.27,28.27,0,11,0,0
2,2018-02-February,OrionStarA112,0,28.27,28.27,0,4,0,0
3,2018-08-August,OrionStarA112,0.883310457,29.00714286,28.27,1.72,14,0.23607465,0.462706313
4,2018-09-September,OrionStarA112,0.024253563,30.27666667,30.26,0.05,18,0.00571662,0.011204574
5,2018-10-October,OrionStarA112,1.204790438,29.11,28.27,2.52,36,0.200798406,0.393564876
6,2018-11-November,OrionStarA112,0.429787181,30.3975,30.56,0.3225,48,0.062034436,0.121587495
7,2018-11-November,SENSOREXtorodial,0.345556205,29.95909091,29.9,0.3,11,0.104189116,0.204210667
8,2018-12-December,OrionStarA112,0.104853639,30.41666667,30.44,0.25,36,0.017475607,0.034252189
9,2018-12-December,SENSOREXtorodial,0.206628824,29.99541667,30,0.2,24,0.042177932,0.082668747
10,2019-01-January,SENSOREXtorodial,0.329210131,29.33,29.4,0.5,30,0.060105272,0.117806332
11,2019-02-February,OrionStarA112,0.651428871,29.3775,29.68,0.4025,48,0.094025659,0.184290291
12,2019-02-February,SENSOREXtorodial,0.251048526,29.30416667,29.3,0.325,24,0.051245066,0.100440329
13,2019-03-March,OrionStarA112,0,29.5,29.5,0,36,0,0
14,2019-03-March,SENSOREXtorodial,0.097884017,29.53793103,29.5,0.1,29,0.018176606,0.035626147
15,2019-04-April,OrionStarA112,0.150669183,29.37659574,29.4,0.25,47,0.021977359,0.043075624
16,2019-04-April,SENSOREXtorodial,0.214977637,29.46923077,29.6,0.275,26,0.042160583,0.082634743
17,2019-05-May,OrionStarA112,0.176901857,29.62566038,29.5,0.37,53,0.024299339,0.047626704
18,2019-05-May,SENSOREXtorodial,0.112089708,29.44444444,29.4,0.1,27,0.021571674,0.042280482
19,2019-06-June,OrionStarA112,0.300701709,29.68305556,29.6,0.41,72,0.035438036,0.069458551
20,2019-06-June,SENSOREXtorodial,0.317014599,29.6925,29.6,0.48,44,0.047791749,0.093671828
21,2019-07-July,OrionStarA112,0.20335407,29.88914286,29.885,0.3225,70,0.02430546,0.047638702
22,2019-07-July,SENSOREXtorodial,0.201765419,29.96661765,29.96,0.32,68,0.024467651,0.047956596
23,2019-08-August,OrionStarA112,0.499395301,29.6204,29.8,0.4,25,0.09987906,0.195762958
24,2019-08-August,SENSOREXtorodial,0.095724385,30.005,30.025,0.1325,20,0.021404623,0.041953061